date,Harassment (Total),Harassment (w/ https),Harassment (w/o https)
2017/03/06,156626.4759,96458.98823,60167.48771
2017/03/07,160643.1887,96997.88729,63645.30144
2017/03/08,183217.1604,103937.5033,79279.65714
2017/03/09,178947.6843,103316.9649,75630.71942
2017/03/10,157533.9577,84429.96427,73103.99345
2017/03/11,150458.5849,88038.11684,62420.46808
2017/03/12,194026.3244,98236.75165,95789.57278
2017/03/13,188811.2435,100389.0767,88422.16685
2017/03/14,171981.2537,105192.4173,66788.8364
2017/03/15,166686.0668,94933.78637,71752.28039
2017/03/16,226117.6298,148196.2566,77921.37324
2017/03/17,195129.8021,118459.3312,76670.47092
2017/03/18,240047.1529,160391.8664,79655.28647
2017/03/19,251172.7406,166623.0434,84549.6972
2017/03/20,220485.8265,142259.5677,78226.25879
2017/03/21,195961.3334,115660.1462,80301.18723
2017/03/22,172765.5527,104963.2226,67802.33013
2017/03/23,134098.3344,70081.54158,64016.79279
2017/03/24,143000.861,68599.4584,74401.40264
2017/03/25,136478.0259,73531.01803,62947.00786
2017/03/26,123708.6149,61113.53731,62595.07761
2017/03/27,128023.6418,52715.61721,75308.02459
2017/03/28,125835.3975,48020.75057,77814.64691
2017/03/29,118277.5265,47237.77375,71039.75278
2017/03/30,151104.1747,75552.08733,75552.08733
2017/03/31,154304.2921,82412.51964,71891.77245
2017/04/01,151397.178,84109.54331,67287.63465
2017/04/02,162690.5951,93291.1105,69399.48464
2017/04/03,153646.9784,82014.26547,71632.71288
2017/04/04,130093.5147,69806.27618,60287.23852
2017/04/05,149874.1907,73901.09865,75973.09207
2017/04/06,211505.757,79879.02153,131626.7355
2017/04/07,125433.8806,65039.78992,60394.09064
2017/04/08,156158.072,79057.47002,77100.60195
2017/04/09,157000.8798,84329.68051,72671.19934
2017/04/10,163977.161,95951.70122,68025.45982
2017/04/11,141706.6968,80975.25532,60731.44149
2017/04/12,138680.502,82523.4592,56157.04277
2017/04/13,186435.5554,121375.4929,65060.06248
2017/04/14,174725.4383,104764.951,69960.48739
2017/04/15,193484.7091,117978.4811,75506.22793
2017/04/16,195809.3511,111838.6743,83970.67677
