date,Harassment Tweets (Total),Harassment Tweets (w/o https),Harassment Tweets (w https)
2017,492,189,303
2017,525,208,317
2017,587,254,333
2017,530,224,306
2017,459,213,246
2017,417,173,244
2017,555,274,281
2017,568,266,302
2017,515,200,315
2017,155,71,84
2017,565,222,343
2017,666,221,445
2017,710,239,471
2017,668,237,431
2017,593,243,350
2017,530,208,322
2017,398,190,208
2017,419,218,201
2017,245,113,132
2017,340,200,140
2017,359,222,137
2017,323,194,129
2017,426,213,213
2017,440,205,235
2017,396,176,220
2018,429,183,246
2018,444,207,237
2018,410,190,220
2018,434,220,214
2018,609,379,230
2018,378,182,196
2018,399,197,202
2018,404,187,217
2018,458,190,268
2018,413,177,236
2018,405,164,241
2018,533,186,347
2018,497,199,298
2018,492,192,300
2018,534,229,305
2018,26,13,13
